"","District","DisaggregationCategory","Category","MathScores2019","ELAScores2019","MathScores2022","ELAScores2022","TotalEnrollment","Blended","PercentBlended","Remote","PercentRemote","remote_cat"
"430","29","Grade Level","8","595.9720459","596.9329224","588.9812622","597.4949341","2255","627","27.8","1628","72.2","Middle"
"431","29","Race or Ethnicity","Asian","605.438926915749","605.18607478862","602.120432331849","606.514328262544","4072","674","16.6","3398","83.4","High"
"432","29","Race or Ethnicity","Black","592.598259150574","596.100801780779","589.667690952054","597.928059602942","13345","3941","29.5","9404","70.5","Middle"
"433","29","Race or Ethnicity","Hispanic","591.844552168862","594.186297868583","587.108572915714","594.645140443647","4245","1484","35","2761","65","Middle"
"434","29","Race or Ethnicity","White","596.11588636824","594.434959345935","589.078123071354","596.000012194634","467","156","33.4","311","66.6","Middle"
"435","29","total","total","595.0644","597.6206","592.1082","599.5438","23443","6533","27.87","16910","72.13","Middle"
"436","30","English Language Learner Status","ELL","599.866843790839","597.344216164969","593.624635521968","599.356630649626","6394","3253","50.9","3141","49.1","Low"
"437","30","English Language Learner Status","Not ELL","607.806730012434","608.220707343074","603.546482282538","609.682119114119","29898","11442","38.3","18456","61.7","Middle"
"438","30","Gender","Female","605.058728049093","606.929670877593","599.171526062742","608.624082473908","18033","7110","39.4","10923","60.6","Middle"
"439","30","Gender","Male","604.292540667816","601.369459153786","599.93826137876","603.057394877787","18259","7585","41.5","10674","58.5","Middle"
"440","30","Grade Level","3","602.0691528","603.6099243","598.7818604","603.0915527","2619","1268","48.4","1351","51.6","Low"
"441","30","Grade Level","4","603.2963257","601.3306885","599.4490356","601.8439331","2657","1272","47.9","1385","52.1","Low"
"442","30","Grade Level","5","603.8358765","604.3944702","598.7480469","605.3323364","2823","1269","45","1554","55","Low"
"443","30","Grade Level","6","604.6553955","603.1958618","599.1397095","607.5084229","3053","1298","42.5","1755","57.5","Middle"
"444","30","Grade Level","7","605.5974731","605.793335","601.4794922","609.6295776","3056","1202","39.3","1854","60.7","Middle"
"445","30","Grade Level","8","608.6061401","606.1977539","599.713623","606.7319336","3164","1190","37.6","1974","62.4","Middle"
"446","30","Race or Ethnicity","Asian","615.911176376228","613.113890955284","612.126968327461","614.826370670153","7712","2116","27.4","5596","72.6","Middle"
"447","30","Race or Ethnicity","Black","591.871603514714","594.254097523406","587.704073455669","596.767689700211","2289","641","28","1648","72","Middle"
"448","30","Race or Ethnicity","Hispanic","599.588651284169","599.035069665958","593.569565679852","600.989881933062","19132","8695","45.4","10437","54.6","Low"
"449","30","Race or Ethnicity","White","611.229208396091","612.186259490284","606.29082790821","611.787146250879","6176","2851","46.2","3325","53.8","Low"
"450","30","total","total","606.4079","606.3045","601.7984","607.863","36292","14695","40.49","21597","59.51","Middle"
"451","31","English Language Learner Status","ELL","598.666005077063","597.141383154178","596.450559471277","600.623801861913","4360","1943","44.6","2417","55.4","Low"
"452","31","English Language Learner Status","Not ELL","602.329037174119","603.988150226465","598.87746290807","604.884568718058","55255","22631","41","32624","59","Middle"
"453","31","Gender","Female","602.270007514013","606.221428698737","598.012191250019","607.175816616115","29132","11806","40.5","17326","59.5","Middle"
"454","31","Gender","Male","601.263370049255","599.852265592579","598.77203594338","601.19122626906","30483","12768","41.9","17715","58.1","Middle"
"455","31","Grade Level","3","600.8944702","603.286438","598.3823242","603.163147","4411","2292","52","2119","48","Low"
"456","31","Grade Level","4","602.1928101","600.8848267","597.6938477","599.0082397","4481","2312","51.6","2169","48.4","Low"
"457","31","Grade Level","5","601.742981","602.753418","598.4762573","604.4450073","4493","2275","50.6","2218","49.4","Low"
"458","31","Grade Level","6","600.8568726","602.9492188","597.4416504","605.4645386","4293","1938","45.1","2355","54.9","Low"
"459","31","Grade Level","7","601.5736694","604.0272217","600.9776611","608.7386475","4336","1728","39.9","2608","60.1","Middle"
"460","31","Grade Level","8","603.7020874","603.9519653","596.8023682","604.1055908","4425","1821","41.2","2604","58.8","Middle"
